project_id,latitude,longitude,neighbourhood_cleansed,price,room_type,accommodates,bedrooms,beds,host_is_superhost,number_of_reviews,reviews_per_month,review_scores_rating,minimum_nights,availability_365,amenities_count,bathrooms,NEAR_DIST,House_Buffer_metro_500Join,House_Buffer_metro_100Join,House_Buffer_bus_500Join,House_Buffer_bus_100Join,count_shop_500m,count_rest_500m,count_commercial_500m,dist_to_beach,dist_to_park,dist_to_water,dist_to_tour
6350,22.286976508577705,114.14724475330353,Central & Western,317,Private room,1,1,1,0,0,0,0,30,177,20,1,504.08313584344177,0,0,73,4,29,95,124,3080.092514875674,72.40401141000656,107.32909547351068,542.8799072764136
6351,22.29882,114.17212,Yau Tsim Mong,569,Entire home/apt,2,1,1,1,12,2.52,4.67,1,77,13,1,471.9906835572547,1,0,91,11,57,302,359,3591.064843086996,256.01477948339647,152.26896262178056,452.3068217720557
6352,22.29883684724409,114.17286951574803,Yau Tsim Mong,569,Entire home/apt,2,1,1,1,3,1.02,4.67,1,83,13,1,427.90265285274927,1,0,98,9,60,308,368,3645.697147074876,314.51072994268264,229.43789943279305,496.4949048014189
6354,22.307000279904763,114.1679114418582,Yau Tsim Mong,1137,Entire home/apt,4,2,2,0,8,1.97,4.88,1,7,21,1,334.58371085720194,1,0,109,4,53,171,224,2672.560843615123,124.5707764053937,673.1413707424274,229.1364025592579
6355,22.289170333852304,114.14039731031714,Central & Western,400,Entire home/apt,2,1,1,0,0,0,0,28,153,9,1,473.96807737617337,1,0,37,0,27,73,100,2479.3022445278407,181.60176220978104,563.2378875676344,890.5328052564244
6357,22.26495,113.99998,Islands,471,Entire home/apt,2,0,1,0,0,0,0,28,255,6,1,6612.056501612987,0,0,6,0,5,4,9,294.9073902818784,193.2082675500667,396.12832820293016,4918.332165787583
6358,22.28111563217116,114.18620778197632,Wan Chai,360,Private room,2,1,1,0,0,0,0,28,262,8,1,602.2983202786696,0,0,120,1,40,193,233,4038.857200665838,223.3665182102717,585.4643202075015,166.7242255823213
6360,22.27893,114.17669,Wan Chai,337,Private room,1,1,1,0,1,1,5,1,206,11,1,314.5044389353551,1,0,161,3,58,247,305,3949.2330135898906,128.03189897095558,201.20419726362377,658.5487261814455
6361,22.27695,114.1767,Wan Chai,418,Private room,1,1,1,0,1,1,5,1,206,14,1,526.7721888415554,0,0,143,5,56,273,329,3738.717536620985,91.88460472482392,148.84216961594126,860.1085862888159
6362,22.328,114.16168,Sham Shui Po,713,Private room,2,1,2,0,2,0.59,5,1,151,12,1,787.0942699438035,0,0,98,0,39,172,211,1615.5181695634385,209.63321332653072,320.011490950979,250.8033012907072
6363,22.27661,114.18512,Wan Chai,464,Private room,1,1,1,0,0,0,0,30,56,14,2,940.4987005437641,0,0,110,0,34,161,195,3545.42471011271,27.03557380413273,728.1017501311537,355.1591195980581
6364,22.2782377,114.1924549,Wan Chai,552,Entire home/apt,2,0,1,0,0,0,0,14,358,5,1,450.71773875387936,1,0,75,0,14,30,44,3756.671245980609,129.23486831711423,821.8266246057091,649.653939095637
